,Row,Description,Descrition_Trad
26,FLAG_PHONE,"Did client provide home phone (1=YES, 0=NO)","Le client a-t-il fourni un téléphone à la maison (1 = oui, 0 = non)"
27,FLAG_EMAIL,"Did client provide email (1=YES, 0=NO)","Le client a-t-il fourni un e-mail (1 = oui, 0 = non)"
28,OCCUPATION_TYPE,What kind of occupation does the client have,Quel genre d'occupation le client a-t-il
29,CNT_FAM_MEMBERS,How many family members does client have,Combien de membres de la famille ont un client
30,REGION_RATING_CLIENT,"Our rating of the region where client lives (1,2,3)","Notre évaluation de la région où vit le client (1,2,3)"
31,REGION_RATING_CLIENT_W_CITY,"Our rating of the region where client lives with taking city into account (1,2,3)","Notre évaluation de la région où le client vit avec la prise de la ville en compte (1,2,3)"
32,WEEKDAY_APPR_PROCESS_START,On which day of the week did the client apply for the loan,Le jour de la semaine du client appliqué pour le prêt
33,HOUR_APPR_PROCESS_START,Approximately at what hour did the client apply for the loan,Environ à quelle heure le client a-t-il demandé le prêt
34,REG_REGION_NOT_LIVE_REGION,"Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)","Drapeau Si l'adresse permanente du client ne correspond pas à l'adresse de contact (1 = différent, 0 = même, au niveau de la région)"
35,REG_REGION_NOT_WORK_REGION,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)","Drapeau Si l'adresse permanente du client ne correspond pas à l'adresse de travail (1 = différente, 0 = même, au niveau de la région)"
36,LIVE_REGION_NOT_WORK_REGION,"Flag if client's contact address does not match work address (1=different, 0=same, at region level)","Drapeau Si l'adresse de contact du client ne correspond pas à l'adresse de travail (1 = différente, 0 = même, au niveau de la région)"
37,REG_CITY_NOT_LIVE_CITY,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)","Drapeau Si l'adresse permanente du client ne correspond pas à l'adresse de contact (1 = différent, 0 = même, au niveau de la ville)"
38,REG_CITY_NOT_WORK_CITY,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)","Drapeau Si l'adresse permanente du client ne correspond pas à l'adresse de travail (1 = différente, 0 = même, au niveau de la ville)"
39,LIVE_CITY_NOT_WORK_CITY,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)","Drapeau Si l'adresse de contact du client ne correspond pas à l'adresse de travail (1 = différente, 0 = même, au niveau de la ville)"
40,ORGANIZATION_TYPE,Type of organization where client works,Type d'organisation où fonctionne le client
41,EXT_SOURCE_1,Normalized score from external data source,Score normalisé de la source de données externe
42,EXT_SOURCE_2,Normalized score from external data source,Score normalisé de la source de données externe
43,EXT_SOURCE_3,Normalized score from external data source,Score normalisé de la source de données externe
44,APARTMENTS_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
45,BASEMENTAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
46,YEARS_BEGINEXPLUATATION_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
47,YEARS_BUILD_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
48,COMMONAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
49,ELEVATORS_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
50,ENTRANCES_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
51,FLOORSMAX_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
52,FLOORSMIN_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
53,LANDAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
54,LIVINGAPARTMENTS_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
55,LIVINGAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
56,NONLIVINGAPARTMENTS_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
57,NONLIVINGAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
58,APARTMENTS_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
59,BASEMENTAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
60,YEARS_BEGINEXPLUATATION_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
61,YEARS_BUILD_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
62,COMMONAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
63,ELEVATORS_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
64,ENTRANCES_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
65,FLOORSMAX_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
66,FLOORSMIN_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
67,LANDAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
68,LIVINGAPARTMENTS_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
69,LIVINGAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
70,NONLIVINGAPARTMENTS_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
71,NONLIVINGAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
72,APARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
73,BASEMENTAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
74,YEARS_BEGINEXPLUATATION_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
75,YEARS_BUILD_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
76,COMMONAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
77,ELEVATORS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
78,ENTRANCES_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
79,FLOORSMAX_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
80,FLOORSMIN_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
81,LANDAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
82,LIVINGAPARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
83,LIVINGAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
84,NONLIVINGAPARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
85,NONLIVINGAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
86,FONDKAPREMONT_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
87,HOUSETYPE_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
88,TOTALAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
89,WALLSMATERIAL_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
